[2026-03-21 02:01:45] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:45] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:46] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:46] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:46] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | _
[2026-03-21 02:01:46] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:47] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:47] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:47] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | _
[2026-03-21 02:01:47] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:48] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 05 01 F5 00 00 
[2026-03-21 02:01:48] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | _
[2026-03-21 02:01:48] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | W
[2026-03-21 02:01:48] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:49] [PACKET] CLIENT -> SERVER | Client login | Len=54 | C3 36 01 F1 B2 A8 A5 EB 79 F1 20 AA 87 54 E8 F9 CF 11 D4 09 45 9B 58 FD 88 B6 A4 25 6F 9B 48 8B 8F 80 F8 07 E5 50 7D 5E B4 06 BA 0E 3A CD 75 17 55 E6 41 CB 63 8D 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Unknown packet | Len=5 | C1 05 F1 01 01 
[2026-03-21 02:01:49] [PACKET] CLIENT -> SERVER | Client Ping | Len=17 | C3 11 02 0E 35 66 FB 91 55 8B 56 48 FF 78 E4 A4 9C 
[2026-03-21 02:01:49] [PACKET] CLIENT -> SERVER | Character list request | Len=4 | C1 04 F3 00 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Character list reply | Len=75 | C1 4B F3 00 04 00 02 00 41 44 4D 49 4E 00 00 00 00 00 00 90 01 20 60 01 FF FF 77 FF 12 4C 00 B4 00 00 A0 FF 00 00 00 00 FF 01 54 45 53 54 45 45 52 00 00 00 00 24 01 00 00 FF FF 77 77 7F 00 00 00 00 00 00 F0 F0 00 00 00 00 FF 
[2026-03-21 02:01:49] [PACKET] CLIENT -> SERVER | Unknown packet | Len=8 | C1 08 FD B8 05 B7 28 5B 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 05 01 F5 00 00 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 07 01 F5 00 00 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:49] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:50] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 05 01 F5 00 00 
[2026-03-21 02:01:50] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 07 01 F5 00 00 
[2026-03-21 02:01:50] [PACKET] SERVER -> CLIENT | Unknown packet | Len=12 | C1 0C FB 06 01 40 66 1C 00 00 00 00 
[2026-03-21 02:01:50] [PACKET] SERVER -> CLIENT | Unknown packet | Len=36 | C1 24 FB 0F 01 7D 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 
[2026-03-21 02:01:51] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | W
[2026-03-21 02:01:51] [PACKET] SERVER -> CLIENT | Unknown packet | Len=8 | C1 08 FB 07 01 F5 00 00 
